x_f,y_f,z_f,x,y,z,time_ms
22.5,732.67,604.5,23,753,637,0
24.22,728.45,602.62,45,775,624,8
25.09,729.45,604.24,45,775,624,16
28.17,735.87,607.91,45,775,624,24
30.82,740.41,609.26,32,740,602,32
33.17,742.62,610.42,1,704,621,40
30.79,739.74,609.95,1,704,621,48
28.25,734.92,608.9,28,762,620,56
22.86,732.1,608.43,-3,787,635,64
16.4,73.86,609.88,-3,787,635,72
10.73,736.65,613.53,-2,788,651,80
8.52,741.18,614.53,33,738,1,88
5.33,744.04,615.55,-14,706,624,96
4.88,743.53,614.82,-2,710,611,104
6.67,738.76,611.97,33,726,611,112
7.9,728.89,608.82,33,726,634,120
12.2,719.26,606.83,33,726,660,128
14.22,716.45,608.67,-7,775,622,136
18.85,716.8,609.47,0,759,622,144
20.85,722.74,613.61,-1,717,622,152
22.37,727.73,616.77,-17,717,622,160
20.71,730.19,617.13,-17,717,622,168
15.31,728.48,616.78,30,737,613,176
12.05,725.44,614.93,39,765,652,184
9.76,724.16,614.73,-13,778,652,192
8.47,723.63,614.73,31,754,625,200
9.05,726.42,616.93,48,738,604,208
12.24,729.91,617.79,48,738,604,216
18.73,734.7,617.06,-16,722,630,224
21.42,735.48,615.99,29,738,618,232
25.19,734.34,612.97,38,758,618,240
25.75,732.19,610.78,38,767,624,248
25.57,730.61,608.07,30,751,624,256
27.95,729.95,607,30,751,624,264
28.27,732.3,608.1,30,751,624,272
28.6,735.61,610.06,45,728,601,280
29.68,736.19,610.06,23,748,621,288
32.42,737.02,609.14,23,748,621,296
31.82,735.76,608.47,37,762,617,304
31.36,734.73,607.59,8,769,620,312
28.96,735.02,606.88,8,769,620,320
26.43,737.85,606.68,-22,759,640,328
20.81,741.09,608.4,47,735,609,336
18.88,742.36,608.49,15,729,603,344
14.84,742.66,609.14,-17,736,634,352
11.39,739.8,609.67,45,761,618,360
12.55,737.34,608.99,45,761,618,368
14.18,734.84,608.65,17,768,618,376
17.2,734.63,608.15,-20,756,633,384
17.11,735.91,609.15,15,745,626,392
19.31,737.87,609.13,15,745,626,400
16.18,740.12,611.03,-18,739,629,408
11.9,740.31,613.36,-18,739,629,416
8.51,738.56,613.89,-18,739,629,424
1.43,734.78,615.32,16,754,632,432
-2.51,732.49,616.57,-21,749,630,440
-6.33,730.66,617.6,-21,749,630,448
-7.5,730.67,617.77,14,739,625,456
-7.96,731.18,617.94,45,732,609,464
-5.01,730.93,616.67,45,732,609,472
1.89,730.08,614.39,-19,741,625,480
5.94,728.81,612.36,10,754,635,488
11.32,728.31,611.14,46,762,623,496
15.32,728.52,610.03,-19,751,628,504
15.78,729.95,610.5,7,743,626,512
15.88,731.74,611.57,7,743,626,520
13.12,733.71,612.94,7,743,626,528
9.57,734.85,614.55,27,740,606,536
7.98,734.54,614.07,2,749,637,544
9.03,733.65,614.08,2,749,637,552
9.02,732.42,613.73,45,757,622,560
9.91,732.17,613.9,31,756,612,568
14.34,733.38,613.38,31,756,612,576
17.79,735.55,612.56,5,740,633,584
19.67,736.63,612.49,41,739,614,592
23.38,736.82,610.78,32,743,606,600
24.74,736.31,609.63,32,743,606,608
26.99,734.52,606.64,-1,757,637,616
26.67,733.66,605.93,43,758,617,624
26.25,733.29,605.41,43,759,612,632
27,734.39,605.54,-16,747,620,640
24.08,735.51,606.37,41,740,611,648
25.6,736.83,605.52,41,740,611,656
24.97,737.03,605.42,-13,747,619,664
22.32,736.21,605.48,-13,747,619,672
18.59,734.93,605.56,-13,747,619,680
15.04,733.18,604.4,38,748,618,688
11.66,732.27,604.86,-9,739,619,696
5.98,731.35,605.84,-9,739,619,704
4.77,731.08,606.32,-4,740,635,712
1.45,730.74,608.26,41,751,613,720
2.01,730.76,608.91,41,751,613,728
6.75,730.64,608.99,-10,753,618,736
8.93,731.35,608.93,-8,756,644,744
11.17,732.97,610.31,40,753,612,752
12.46,734.74,610.06,-11,743,614,760
12.39,736.2,609.99,-12,741,637,768
10.65,736.65,611.37,-12,741,637,776
7.48,736.06,612.16,-12,741,637,784
1.86,734.19,614.67,-3,749,618,792
-2.85,732.72,615.97,-14,750,643,800
-5.21,731.73,618.58,-14,750,643,808
-7.01,731.46,619.66,33,751,608,816
-7.46,732.12,620.06,-1,742,608,824
-5.46,732.98,619.13,-1,742,608,832
-2.69,733.54,615.55,-17,740,635,840
-1.41,733.22,613.17,34,744,621,848
2.31,732.61,610.18,45,752,611,856
6.26,731.98,608.64,-14,754,642,864
7.76,731.98,608.8,36,751,621,872
12.69,732.62,608.77,36,751,621,880
15.11,733.72,610.94,43,750,612,888
20.44,735.3,611.58,-17,742,638,896
21.05,735.89,613.25,29,746,620,904
23.92,736.09,612.22,29,746,620,912
23.11,735.51,612.03,44,748,614,920
22.74,734.53,611.94,44,749,612,928
26.48,733.76,609.74,6,749,612,936
25.81,733.57,608.44,25,748,612,944
26.83,733.68,606.54,10,747,607,952
25.21,733.86,604.81,10,747,607,960
25.4,734.35,601.8,10,747,607,968
21.51,734.39,600.16,20,747,626,976
18.45,734.29,600.03,45,749,610,984
17.55,734.19,599.84,9,751,613,992
16.07,734.29,600.45,-22,746,637,1000
15.31,734.26,602.88,49,747,616,1008
16.86,734.38,604.44,16,746,609,1016
16.88,734.36,605.81,-24,740,635,1024
14.16,733.76,608.14,-24,740,635,1032
10.13,732.8,610.46,-24,753,615,1040
4.38,732.48,610.68,15,749,610,1048
-0.76,732.11,611.15,-25,744,631,1056
-6.14,731.81,612.2,-25,744,631,1064
-8.74,732.03,611.78,22,749,612,1072
-11,732.51,611.38,22,749,612,1080
-9.19,732.95,611.1,22,749,612,1088
-3.52,733.58,609.15,-21,746,632,1096
-0.35,734.01,608.44,12,750,612,1104
4.28,734.04,607.62,24,750,612,1112
6.26,734.38,607.21,-22,746,630,1120
6.5,734.68,607.05,11,747,628,1128
7.51,734.87,607.4,11,747,628,1136
5.66,734.64,609.3,46,743,612,1144
7.51,734.09,610.1,-20,744,626,1152
6.26,733.43,611.56,8,749,632,1160
9.1,733.18,611.95,8,749,618,1168
9.29,732.89,612.43,-21,745,625,1176
6.1,732.64,613.1,-21,745,625,1184
4.06,732.74,612.73,-21,745,625,1192
-1.37,732.75,612.77,6,748,614,1200
-4.63,732.82,611.96,27,750,610,1208
-7.14,733.18,611.32,27,750,610,1216
-3.26,733.6,609.31,27,750,610,1224
1.42,733.99,606.57,2,749,635,1232
5.78,734.49,606.29,42,750,616,1240
13.58,735.23,605.22,30,752,610,1248
19.05,735.93,604.76,0,745,637,1256
21.3,736.04,606.38,42,746,614,1264
23.53,735.82,607.39,42,746,614,1272
24.64,735.27,608.31,33,749,612,1280
26.17,734.82,608.22,-18,745,622,1288
24.24,734.14,608.37,-18,745,617,1296
22.12,733.59,606.77,36,752,611,1304
19.18,733.59,605.95,-17,744,616,1312
12.88,733.17,605.89,-17,744,616,1320
8.24,733.19,604.45,44,750,606,1328
5.78,733.38,603.83,37,750,606,1336
5.83,733.63,602.79,37,750,606,1344
9.14,733.87,601.52,-12,744,619,1352
12.91,734.02,600.49,-6,749,609,1360
15.92,734.46,599.49,38,751,609,1368
16.45,734.55,599.25,-7,744,615,1376
15.52,734.57,599.42,-7,747,633,1384
13.56,734.62,601.12,-7,747,633,1392
7.94,734.23,604.03,41,754,612,1400
7.02,734.42,606.06,-7,746,616,1408
4.36,734.26,608.19,-13,749,640,1416
4.39,734.73,610.49,-13,749,619,1424
3.51,734.93,611.69,-7,743,612,1432
-0.15,734.58,611.9,-7,743,612,1440
-1.79,734.34,611.14,-7,743,612,1448
-3.98,733.53,609.05,-14,747,620,1456
-5.85,732.91,607.24,-4,748,616,1464
-8.87,732.1,606.28,-4,748,616,1472
-8.42,732.13,605.57,-14,747,641,1480
-8.25,732.27,605.92,32,746,619,1488
-5.06,732.52,607.11,32,746,619,1496
-1.08,733.02,608.96,41,750,610,1504
5.28,733.55,609.63,-15,746,637,1512
8.89,733.72,611.31,33,745,621,1520
14.99,733.58,611.22,45,749,615,1528
19.85,733.61,610.91,-19,749,639,1536
19.48,733.71,612.28,-19,749,639,1544
17.86,733.94,612.88,-19,749,625,1552
11.59,734.29,614.61,47,750,611,1560
9.27,734.77,615.05,5,749,611,1568
4.81,734.99,615.09,5,749,611,1576
5.44,735.38,612.39,26,746,619,1584
6.38,735.47,610.21,26,746,619,1592
8.08,735.17,608.32,47,749,614,1600
15.05,734.92,605.65,10,749,613,1608
18.85,734.67,603.99,17,741,610,1616
22.58,733.99,603.31,48,747,610,1624
23.78,733.6,603.16,5,755,615,1632
24.35,733.83,602.88,-14,760,640,1640
22.49,734.74,604.34,-14,760,640,1648
17.56,736.38,606.47,43,739,608,1656
15.52,737.06,607.78,17,744,606,1664
11.51,737.53,609.1,-26,740,633,1672
8.25,736.77,610.95,-26,740,618,1680
4.81,735.47,611.05,15,765,617,1688
1.75,735.02,610.48,15,765,617,1696
1.11,735.07,609.6,15,765,617,1704
1.8,736.58,607.92,-25,754,623,1712
1.1,738.51,607.05,12,736,603,1720
0.35,740.31,606.52,12,736,603,1728
1.24,740.21,605.57,-28,736,627,1736
1.14,738.29,604.23,14,750,628,1744
2.44,736.11,604.3,14,750,628,1752
1.45,732.87,605.35,23,762,618,1760
2.63,732.01,606.6,-20,749,630,1768
1.78,732.08,609.07,9,740,629,1776
4.74,732.95,611.01,9,738,613,1784
5,734.08,612.42,-19,746,625,1792
2.87,734.41,613.64,-19,746,625,1800
1.9,733.92,613.05,-19,746,625,1808
-2.54,732.55,612.6,43,757,616,1816
-2.47,732.57,611.65,-18,745,623,1824
-5.31,732.07,611.7,-18,745,623,1832
-4.58,732.75,611.14,9,742,628,1840
-3.8,733.35,611.07,48,740,611,1848
-0.07,733.3,610.89,48,740,611,1856
6.46,732.2,609.75,32,744,607,1864
13.13,731.07,607.94,7,753,639,1872
19.13,730.82,607.84,43,760,619,1880
23.04,731.19,607.44,31,760,616,1888
27.97,733.31,607.18,3,740,627,1896
28.91,734.7,608.14,3,740,627,1904
26.62,735.82,609.1,3,736,608,1912
21.36,735.54,609.65,32,736,611,1920
18.11,733.94,609.38,-16,733,620,1928
13.06,731.08,609.23,-16,733,620,1936
9.59,727.68,607.21,36,783,625,1944
7.54,728.07,607.06,36,783,625,1952
7.65,730.7,607.65,36,783,625,1960
11.22,737.05,608.39,-9,753,621,1968
12.91,742.74,609.23,42,718,602,1976
17.94,745.39,609.45,31,718,602,1984
20,744.49,608.28,31,718,602,1992
23.94,739.41,605.35,-19,727,619,2000
23.51,732.5,602.99,-8,765,649,2008
19.44,725.79,603.05,36,791,633,2016
17.34,724.68,604.29,-5,753,618,2024
12.43,725.97,606.6,-2,718,623,2032
10.66,728.88,609.77,32,716,598,2040
8.78,731.87,611.19,-7,740,611,2048
6.9,732.69,611.08,-7,740,611,2056
5.29,730.72,609.05,-7,740,611,2064
5.3,727.74,605.83,-8,792,641,2072
3.73,728.07,603.96,-1,742,615,2080
-0.22,727.35,603.22,-1,742,615,2088
-1.6,730.55,604.58,-5,717,623,2096
-2.63,732.72,606.06,37,713,602,2104
-1.8,731.91,606.99,37,713,602,2112
3,726.88,605.91,-1,749,612,2120
6.63,722.67,604.25,-13,769,646,2128
9.01,721.4,604.94,33,781,635,2136
12.63,721.67,604.83,41,773,622,2144
15.39,728.24,607.2,-8,726,629,2152
14.9,733.2,610.69,-8,726,629,2160
14.3,737.62,613.41,-8,728,610,2168
10.75,738.22,614.95,39,739,609,2176
9.83,736.18,614.51,-13,756,642,2184
7.62,732.28,614.59,-13,756,642,2192
6.08,729.17,613.49,29,760,618,2200
5.08,728.74,612.95,38,760,618,2208
5.7,730.87,613.69,38,760,618,2216
10.68,736.17,613.74,0,740,617,2224
13.73,739.18,612.9,26,737,617,2232
18.4,740.12,612.02,44,748,617,2240
20.78,739.49,610.74,9,749,615,2248
23.05,737.24,607.96,21,756,628,2256
24.79,735.8,606.79,21,756,628,2264
23.58,735.12,607.7,39,758,615,2272
23.57,735.84,608.21,0,749,617,2280
21.29,736.64,608.83,-20,738,631,2288
19.13,737.48,610.08,-20,738,631,2296
13.9,737.28,611.27,48,748,616,2304
10.99,735.99,611.55,15,746,613,2312
9.02,734.25,611.57,15,746,613,2320
8.27,732.51,610.42,-19,738,619,2328
7.04,730.98,609.16,14,748,615,2336
7.03,730.46,608,14,748,615,2344
8.31,730.65,606.76,-14,738,627,2352
7.49,730.76,606.08,24,744,623,2360
8.61,731.01,606,24,744,623,2368
6.79,730.58,607.3,18,751,613,2376
8.4,730.87,608.1,-18,744,626,2384
7.89,730.87,609.38,21,750,625,2392
10.88,731.88,609.97,15,749,622,2400
10.85,732.45,610.49,-17,740,615,2408
8.35,732.48,610.49,-17,740,615,2416
6.54,732.68,609.65,-17,740,631,2424
1.67,731.93,609.95,48,751,612,2432
1.35,731.66,609.01,-19,741,622,2440
-1.64,730.51,609.28,-19,741,622,2448
-1.58,730.1,608.89,16,746,617,2456
-1.43,729.88,608.54,45,746,617,2464
1.62,729.93,608.31,45,746,617,2472
7.69,730.54,608.18,-21,742,628,2480
10.14,730.79,608.75,10,752,635,2488
14.24,731.7,609.2,43,757,624,2496
15.46,732.52,610.72,17,755,619,2504
18.04,734.18,611.62,4,741,631,2512
18.74,735.08,613.08,4,741,631,2520
17.03,735.34,614.5,45,743,614,2528
16.98,735,614.45,27,744,613,2536
16.52,734.01,613.73,4,749,641,2544
18.6,733.3,613.85,4,749,624,2552
18.41,732.42,612.91,32,761,617,2560
17.81,732.93,612.53,32,761,617,2568
18.71,734.49,612.34,32,761,617,2576
20.45,737.44,611.31,1,742,607,2584
20.76,739.11,609.24,24,736,617,2592
20.34,739.36,608.07,24,736,617,2600
20.64,738.08,606.87,24,736,617,2608
21.56,735.2,604.68,-7,735,608,2616
19.98,731.7,603.54,50,774,619,2624
20.28,730.6,603.65,28,766,617,2632
20.22,731.07,603.76,-14,751,622,2640
18.1,732.7,604.29,6,742,630,2648
18.1,735.42,606.14,38,738,609,2656
17.81,737.18,606.42,-11,729,608,2664
14.66,736.46,606.54,-11,729,608,2672
10.97,733.62,605.8,-11,729,641,2680
8.43,729.87,607.1,44,769,618,2688
6.46,727.07,606.63,-13,747,618,2696
3.39,725.5,607.01,-13,747,618,2704
3.11,726.69,607.58,-9,734,606,2712
1.75,728.19,606.83,38,734,606,2720
1.68,729.29,606.39,38,734,606,2728
5.35,729.46,604.69,-10,739,617,2736
6.82,728.51,603.41,-10,750,642,2744
8.66,728.17,602.63,37,763,629,2752
9.58,727.5,604.14,-7,749,619,2760
10.32,728.96,606.37,-11,737,635,2768
9.26,730.36,609.89,-11,737,635,2776
6.86,731.92,613.74,34,738,612,2784
5.06,732.19,615.26,-6,737,614,2792
2.03,731.16,615.53,-15,742,640,2800
1.57,729.59,615.97,-15,742,640,2808
0.77,727.87,615.37,40,756,615,2816
0.69,727.36,614.71,40,756,615,2824
4.23,728.78,614.73,40,756,615,2832
9.51,731.63,613.46,-13,742,636,2840
12.92,733.72,613.03,45,751,613,2848
17.23,735.76,612.09,45,751,613,2856
22.85,737.04,611,-14,747,633,2864
23.67,737.11,610.1,34,756,621,2872
25.8,737.49,609.17,34,756,621,2880
24.38,737.33,609.97,47,759,617,2888
25.17,738.04,610.17,6,747,615,2896
23.89,738.28,610.12,31,740,618,2904
27.12,738.58,608.76,31,740,618,2912
26.86,737.52,608.41,49,742,616,2920
27.72,735.75,607.87,11,742,612,2928
29.44,733.78,606.11,27,752,625,2936
28.94,732.15,606.14,44,760,623,2944
29.7,732.05,606.36,8,755,615,2952
27.43,732.74,606.61,8,755,630,2960
26.83,734.89,608.03,-22,745,630,2968
21.43,736.74,609.51,-22,745,630,2976
14.78,737.82,611.31,38,741,612,2984
9.95,737.42,611.99,-21,737,631,2992
4.44,735.82,613.62,-21,737,631,3000
-0.53,733.17,614.17,41,756,627,3008
-1.36,731.45,614.54,11,751,618,3016
-0.03,730.65,614.73,11,751,618,3024
2.39,730.92,613.85,-22,740,624,3032
3.87,731.66,613.2,21,738,626,3040
7.23,732.08,612.41,4,730,624,3048
5.31,731.33,612.58,-17,738,622,3056
4.7,730.13,611.83,-17,738,649,3064
3.11,728.41,613.41,12,760,608,3072
-0.37,727.48,613.21,12,760,608,3080
-1.03,728.32,613.14,12,760,608,3088
-0.8,730.73,611.79,-30,735,619,3096
-0.58,732.91,609.83,47,724,604,3104
2.18,733.57,606.45,47,724,604,3112
6.72,732.57,603.18,-23,740,626,3120
8.73,730.1,602.16,13,765,641,3128
12.15,728.94,601.88,53,783,633,3136
15.59,729.61,605.09,53,783,633,3144
19.85,733.66,609.16,-16,738,616,3152
19.85,737.17,612.36,4,725,619,3160
22.49,740.5,614.15,4,720,601,3168
19.38,740.63,613.78,28,737,605,3176
16.73,738.07,611.69,28,737,605,3184
17.51,732.81,607.33,28,737,605,3192
17.24,726.94,602.3,40,779,629,3200
18.01,725.47,600.31,27,769,621,3208
19.56,726.71,599.37,27,769,621,3216
24.88,732.82,600.98,8,725,602,3224
26.16,736.8,601.69,47,724,602,3232
28.53,738.89,602.76,47,724,602,3240
29.3,736.78,602.12,28,736,609,3248
29.71,732.84,600.67,-19,737,622,3256
27.34,728.41,599.96,44,770,625,3264
27.21,725.33,599.2,31,763,617,3272
26.4,725.75,600.07,-16,736,612,3280
22.24,726.88,601.39,-16,736,612,3288
18.27,730.58,603.47,41,733,613,3296
15.26,732.26,604.57,30,746,613,3304
13.05,732.83,604.72,-17,750,620,3312
10.05,731.85,604.58,-17,760,647,3320
9.68,732.06,606.07,35,757,617,3328
8.66,731.89,606.81,35,757,617,3336
9.03,733.58,608.63,35,757,617,3344
12.82,737.12,610.19,-11,729,633,3352
14.54,738.02,611.91,43,745,613,3360
16.92,738.56,611.64,43,745,613,3368
20,737.02,610.83,-9,747,618,3376
21.63,735.1,609.85,-11,755,646,3384
21.22,733.61,609.54,-11,755,646,3392
15.99,733.39,612.06,40,762,619,3400
13.56,734.84,613.8,-12,745,608,3408
8.14,735.71,614.96,-15,736,630,3416
5.94,737.13,615.56,41,743,613,3424
5.14,736.8,614.98,-5,749,619,3432
3.1,735.9,613.6,-5,749,619,3440
4.38,734.67,611.69,-12,752,641,3448
3.94,733.67,610.61,34,758,626,3456
6.06,734.07,610.06,45,759,615,3464
6.82,735.1,610.97,45,759,625,3472
12.31,737.54,612.82,-14,733,625,3480
15.63,738.49,612.86,-14,736,613,3488
15,738.08,612.63,45,746,609,3496
18.49,736.68,611.03,-21,746,642,3504
15.6,734.67,611.36,-21,746,642,3512
11.7,732.72,611.38,37,757,634,3520
8.54,732.02,613.11,48,764,627,3528
8.02,733.12,615.72,3,749,618,3536
7.46,734.28,617.02,3,749,618,3544
10.82,736.88,617.24,27,739,619,3552
15.21,737.78,616.55,42,743,608,3560
16.66,737.27,614.32,0,740,607,3568
18.58,735.59,609.88,0,754,627,3576
19.27,734.48,607.17,44,762,619,3584
19.12,733.99,605.38,44,762,619,3592
19.31,734.49,604.91,44,762,619,3600
23.18,737.09,605.5,-20,746,636,3608
23.29,738.97,607.56,50,754,617,3616
25.97,741.28,608.61,50,754,617,3624
27.27,742.17,609.95,12,746,609,3632
28.32,741.84,610.13,-20,733,627,3640
26.29,739.3,609.67,-20,733,627,3648
20.13,735.83,609.59,47,753,618,3656
17.35,733.52,609.18,15,751,612,3664
12.63,731.52,608.79,-18,743,632,3672
10.72,730.84,608.85,24,753,633,3680
8.56,731.14,610.37,15,748,610,3688
7.42,731.82,610.45,15,748,610,3696
8.95,733.03,610.6,15,736,624,3704
11.42,733.56,610.05,21,739,622,3712
14.18,733.45,609.23,19,750,612,3720
13.54,732.43,608.19,19,750,612,3728
14.87,731.68,607.45,8,740,638,3736
16.89,731.23,607.61,8,740,638,3744
15.8,730.49,608.63,8,740,638,3752
14.73,730.12,611.85,50,750,618,3760
16.18,730.17,614.21,-13,750,622,3768
14.34,730.84,615.71,4,750,622,3776
13.44,731.62,616.28,30,749,619,3784
13.93,732.23,615.91,-24,727,618,3792
10.85,731.56,614.64,-24,727,618,3800
7.31,730.6,611.88,4,739,631,3808
3.97,729.11,610.67,35,747,618,3816
3.26,727.7,609.38,20,759,622,3824
1.25,727.22,609.9,20,760,641,3832
5.04,728.44,611.54,47,753,616,3840
11.18,730.87,611.98,47,753,616,3848
16.91,733.89,612.45,47,753,616,3856
25.67,737.5,612.19,25,731,630,3864
31.73,738.33,612.34,51,754,616,3872
36.61,738.46,610.75,51,754,616,3880
38.94,737.57,609.95,27,771,620,3888
40.03,737.72,609.38,-20,766,625,3896
36.81,738.78,608.36,-20,766,625,3904
29.73,741.47,609.1,50,757,619,3912
25.3,744.09,609.49,35,741,607,3920
20.4,744.87,609.11,-15,718,606,3928
15.79,743.54,607.37,45,745,614,3936
15.41,740.25,606.2,34,760,619,3944
16.38,737.18,604.96,34,760,619,3952
19.69,734.31,603.9,-13,754,627,3960
